название,адрес,рейтинг,число отзывов,ссылка,кол-во по сети,цены,количество_услуг,положительных_слов,отрицательных_слов,пример_отзыва
Оазис,"Домодедово, территория Еленино, соор1/1",4.6,14,https://yandex.ru/maps/org/oazis/191297588823/,1,,0,3,0,"Выражаю огромную благодарность персоналу за теплое отношение к моей маме. Она просто расцвела, появились новые подруги, занятия по интересам. Спасибо"
Золотая пора,"посёлок Мещерино, СНТ Диалог, 10",5.0,46,https://yandex.ru/maps/org/zolotaya_pora/145732954462/,2,,0,5,1,"Выражаем искреннюю благодарность всему коллективу за тёплый приём и профессиональный уход. Дедушка живёт здесь уже два месяца, ему всё нравится: комната светлая, медсестра всегда подскажет по лекарств"
Академия Долголетия,"д. Глазынино, 35",4.9,94,https://yandex.ru/maps/org/akademiya_dolgoletiya/91223066464/,3,Уход при болезни Альцгеймера: 1700; Уход при болезни Паркинсона у пожилых: 1700; Уход при деменции за пожилым человеком: 1600; Уход за маломобильными пожилыми: 1500; Уход за лежачими пожилыми людьми: 1600; Дом престарелых: 1300; Соляная комната: 500; Реабилитация после перелома шейки бедра: 2100; Реабилитация после инсульта для пожилых: 2100; Реабилитация после инфаркта для пожилых: 1900; Осмотр врача-психиатра: 3500; Осмотр врача-гериатра: 3000,12,2,1,"Хочу выразить огромную благодарность всем сотрудникам пансионата «Глазынино» и их руководителю и духовному вдохновителю-Светлане Ильиничне за заботу и искреннее отношение к нашим дорогим близким!
Когд"
Теплые беседы,"СНТ Гавриково, 58, Ворота открываются по звонку",4.3,20,https://yandex.ru/maps/org/teplyye_besedy/224527740840/,5,Дом престарелых бутово: 1700; Дом престарелых бутово: 1800; Дом престарелых Бутово: 2100; Пансионат для пожилых бутово: 1900; Пансионат для пожилых бутово: 1900; Пансионат для пожилых Бутово: 2200; Бутово пансионат для пожилых людей: 1900; Бутово пансионат для пожилых людей: 2200; Бутово пансионат для пожилых людей: 1800; Бутово пансионат для пожилых людей: 1900; Дом престарелых: 2100; Дом престарелых: 2300; Дом престарелых бутово: 2150; Дом престарелых бутово: 2000; Пансионат для пожилых в Бутово: 2000; Пансионат для пожилых в Бутово: 2450; Пансионат для пожилых людей Бутово: 2100; Пансионат для пожилых людей Бутово: 2200; Пансионат для пожилых людей в подмосковье: 2200; Пансионат для пожилых людей в подмосковье: 2150; Бутово пансионат для пожилых людей: 2300; Бутово пансионат для пожилых людей: 2100; Бутово пансионат для пожилых людей: 1950; Бутово пансионат для пожилых людей: 1950; Бутово пансионат для пожилых людей: 1900; Бутово пансионат для пожилых людей: 2050; Бутово пансионат для пожилых людей: 2400; Дом престарелых: 2400; Дом престарелых: 2500; Дом престарелых: 2200; Дом престарелых: 2150; Дом престарелых бутово: 1700; Дом престарелых бутово: 2200; Дом престарелых Бутово: 2050; Дом престарелых Бутово: 2300; Дом престарелых Бутово: 2400; Дом престарелых в москве: 2100; Дом престарелых в москве: 2150; Дом престарелых в Москве: 2100; Дом престарелых в москве: 2100; Дом престарелых в москве: 2300; Дом престарелых в подмосковье: 2100; Дом престарелых в подмосковье: 2250; Дом престарелых в подмосковье: 2000; Пансионат для пожилых Бутово: 2150; Пансионат для пожилых бутово: 1950; Пансионат для пожилых бутово: 2000; Пансионат для пожилых Бутово: 2300; Пансионат для пожилых бутово: 1850; Пансионат для пожилых бутово: 2000; Пансионат для пожилых Бутово: 2200; Пансионат для пожилых в Бутово: 2000; Пансионат для пожилых в бутово: 1800; Пансионат для пожилых в Бутово: 1950; Пансионат для пожилых в бутово: 1800; Пансионат для пожилых в бутово: 2100; Пансионат для пожилых в бутово: 1800; Пансионат для пожилых в Бутово: 1950; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2300; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей бутово: 1900; Пансионат для пожилых людей бутово: 1800; Пансионат для пожилых людей Бутово: 2200; Пансионат для пожилых людей бутово: 2000; Пансионат для пожилых людей Бутово: 2050; Пансионат для пожилых людей бутово: 2100; Пансионат для пожилых людей Бутово: 2100; Пансионат для пожилых людей в Подмосковье: 2300; Пансионат для пожилых людей в подмосковье: 2400; Пансионат для пожилых людей в подмосковье: 1950; Пансионат для пожилых людей люберцы: 1950; Частный пансионат для пожилых: 2200; Частный пансионат для пожилых: 2400; Частный пансионат для пожилых: 2250; Частный пансионат для пожилых: 1900,78,2,0,"Хочется сказать много добрых слов в адрес сотрудников пансионата. Мы долго не решались на этот шаг, но деменция не оставляла выбора. Оказалась, что в Теплых беседах к таким людям относятся с огромным "
Геронтологический центр Юго-западный филиал Геронтологический центр для ветеранов войны Коньково,"Профсоюзная ул., 140, корп. 6",4.3,99,https://yandex.ru/maps/org/gerontologicheskiy_tsentr_yugo_zapadny_filial_gerontologicheskiy_tsentr_dlya_veteranov_voyny_konkovo/117352246439/,1,,0,6,0,"Попадая на территорию пансионата сразу чувствуешь особенную атмосферу заботы и внимания! Мемориал воинам, сражавшимся и победившим фашистов в Отечественной войне, ухоженные аллеи, уютные беседки и цве"
Троицк-1,"Лесная ул., 52, корп. 7А",4.7,53,https://yandex.ru/maps/org/troitsk_1/105448866924/,1,"Уход и реабилитация после инфаркта/инсульта: 1200; Уход при деменции, Альцгеймера: 1200; Уход за лежачими больными 24/7: 1200",3,7,1,"Бабушка живет в троицке уже второй год. За это время она стала спокойнее, режим помогает, память стабильна. Общается с другими постояльцами, ходит на арт-терапию. Ремонт скромный, но чистота на высоте"
Сениор Групп,"ул. Константинова, 42, п. г. т. Малаховка",4.8,73,https://yandex.ru/maps/org/senior_grupp/205526153703/,1,"Тест микробиоты с интерпретацией результата: 28400; Генетический тест с интерпретацией результата: 38900; Тест ""Полный геном"" с интерпретацией результата: 130900",3,4,1,"Самой большой проблемой были ночи: бабушка путала день с ночью, бодрствовала, могла уйти. Мы не спали, жили в постоянном стрессе. Здесь нам предложили полноценный стационар. Персонал подготовлен к так"
Доброта,"Центральная ул., 12, корп. 8, посёлок Александровка",4.7,57,https://yandex.ru/maps/org/dobrota/76075084620/,1,"Номер со всеми удобствами для пожилых: 1500; Восстановление после ковида, инсульта, инфаркта, травм: 3000; Массаж: 2000",3,6,0,"Наша бабушка, 93 года, живет в этом пансионате уже почти три года. До этого дома за ней ухаживали по очереди обе ее дочки. Она требовала круглосуточного внимания, без конца мерила давление, вызывала с"
Дружный Берег,"1-я Радужная ул., 17, село Сельцо",5.0,32,https://yandex.ru/maps/org/druzhny_bereg/231774658977/,2,,0,6,1,"Замечательное место! Моя мама находится в этом пансионате вторую неделю и очень довольна! 
""Хочу выразить искреннюю благодарность замечательной работнице пансионата «Дружный берег», моей дорогой сидел"
Радость жизни,"Химки, микрорайон Клязьма-Старбеево, квартал Яковлево, 63А",5.0,40,https://yandex.ru/maps/org/radost_zhizni/52222385057/,1,Пансионат для больных с рассеянным склерозом: 2900; Пансионат для маломобильных пожилых людей в Москве: 2900; Уход за пожилыми с деменцией: 2900; Уход за лежачими больными: 2900; Пансионат для престарелых инвалидов: 2900; Пансионат для инвалидов-колясочников: 2900; Пансионат для пожилых людей с болезнью Паркинсона: 2900; Пансионаты для пожилых с медицинской лицензией: 2900; Частный дом престарелых и интернат для пожилых людей и инвалидов в Москве и области: 2900; Пансионат для пожилых с инсультом: 2900; Пансионат для лежачих пожилых: 2900; Пансионат для пожилых с болезнью Альцгеймера: 2900; Пансионат для пожилых людей с деменцией: 2900; Пансионат для психоневрологических больных: 2900; Пансионат для пожилых после инсульта: 2900; Пансионат для онкологических больных: 2900; Пансионат для больных деменцией: 2900; Пансионат для больных Паркинсоном: 2900; Пансионат для больных Альцгеймером: 2900; Пансионат для больных рассеянным склерозом: 2900; Пансионат для престарелых колясочников: 2900; Пансионат для лежачих больных: 2900; Пансионат для инвалидов: 2900; Реабилитация после черепно-мозговой травмы в Москве: 2900; Реабилитация после эндопротезирования: 2900; Реабилитация после перелома шейки бедра: 2900; Реабилитационный центр после инсульта: 2900,27,2,0,"Ровно год, как моя мама проживает в пансионате «Радость жизни». 
Низкий поклон сотрудникам за их непростой труд, за то, что я могу быть спокойна за свою маму. 
Очень благодарна управляющим Елене Ивано"
Опека,"ул. Габричевского, 5, корп. 8",4.5,77,https://yandex.ru/maps/org/opeka/1756502223/,2,"1-местное Комфорт: 13000; 1-местное ""Всё включено"": 18200; 1-местное: 11700; 2-местное: 7700; 3-местное: 6500; 4-местное: 5750; 5-местное: 5100; Восстановление после перелома шейки бедра: 11000; Программа восстановительного лечения: 11000; Паллиативная помощь и выхаживание: 11000; АВП для пациентов с когнитивными нарушениями: 11000; АВП для пациентов с хронической сердечной недостаточностью: 11000; Восстановление после инсульта: 11000",13,5,0,"Обдираловка. Цена и качество не соответствуют друг другу. Навязчивый колл- центр. Обычная больница, только облагороженная , с роботами- пылесосами, но покоцаной мебелью. Гулять негде. Лифт маленький. "
Опека,"ул. Лескова, 6Б",4.5,53,https://yandex.ru/maps/org/opeka/13445109767/,2,"1-местное ""Всё включено"": 18200; 1-местное Комфорт: 13000; 1-местное: 11700; 2-местное: 7700; 3-местное: 6500; 4-местное: 5750; 5-местное: 5100; Восстановление после перелома шейки бедра: 11000; Программа восстановительного лечения: 11000; Паллиативная помощь и выхаживание: 11000; АВП для пациентов с когнитивными нарушениями: 11000; АВП для пациентов с хронической сердечной недостаточностью: 11000; Восстановление после инсульта: 11000",13,5,0,"Семья Смирновых выражает благодарность всему коллективу пансионата ""Опека"" за заботу, расширенную реабилитацию,медицинское лечение и безупречный уход! Отличный персонал,высококвалифицированные врачи н"
GreenDay,"посёлок Спартак, 4",4.9,79,https://yandex.ru/maps/org/greenday/181448287183/,2,,0,4,0,"Несколько дней назад моя бабушка отметила в пансионате Спартак своё 90-летие и до сих пор пребывает в восторге от своего
Юбилея. Всё было организовано на самом высоком уровне: поздравление, угощение и"
Пансионат Ховрино,"Бородинская ул., 10, д. Ховрино",4.9,46,https://yandex.ru/maps/org/pansionat_khovrino/90453270705/,1,,0,1,1,"Сложно передать мою благодарность работающим тут людям. Мама живёт здесь уже несколько лет. Более чуткий и внимательный персонал я не встречал. Возможно в других пансионатах большие територии, красивы"
Купава Социальный Гериатрический центр,"ул. Кирова, 23, Старая Купавна",5.0,66,https://yandex.ru/maps/org/kupava_sotsialny_geriatricheskiy_tsentr/49103674157/,1,Уход за больными Альцгеймером: 4000; Уход за больными деменцией: 4000; Уход за больными Паркинсоном: 4000; Уход за лежачими больными: 4000; Уход в послеоперационный период: 3500; Уход при онкозаболеваниях: 3000; Уход за больными диабетом: 3000; Уход за больными с неврологическими заболеваниями: 4000; Уход за больными с психическими расстройствами: 4000; Уход за слабовидящими и слепыми: 4000; Уход за больными шизофренией: 4000; Уход за инвалидами-колясочниками: 4000; Реабилитация после перенесенного COVID-19: 3000; Восстановление после инсульта: 4000; Восстановление после инфаркта: 3000; Реабилитация после различных видов перелома: 4000; Культурно-досуговая программа: 3000; Контроль состояния здоровья: 3000; Гигиенический уход: 3000; 5-ти разовое питание: 3000; Первая группа: 3500; Вторая группа: 4500; Третья группа: 5500; ЛФК: 1500; Психологическая служба: 3000,25,3,1,"У меня в пансионате с прошлой зимы находится мама, оф. диагноз - деменция Альцгеймеровского типа. Перед тем, как остановиться на Купаве, посмотрел ещё 3…"
100+,"1-й Лучевой просек, 3",4.4,28,https://yandex.ru/maps/org/100_/213632981427/,1,,0,3,1,"Пансионат очень хорошо расположен, удобно заехать и уехать оттуда. Отличные условия: хорошая мебель, новый ремонт, комфортная обстановка. Очень большой рацион питания: супы, каши, мясо, рыба и так дал"
Vip-пенсионер,"Сиреневая ул., 26, село Тарасовка",5.0,92,https://yandex.ru/maps/org/vip_pensioner/15025062595/,1,Размещение в 4х местном номере: 2300; Размещение в 2х местном номере: 2500; Консультация с директором по телефону: 100,3,9,0,Всем здравствуйте! Хочу поблагодарить всех сотрудников и руководителя за внимательное и бережное отношение к нашей бабушке! Пансионат VIP - пенсионер находится в красивом месте частного сектора. Огром
Пансионат для пожилых Медик,"Трубецкая ул., 69, Балашиха",4.3,20,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_medik/162749222387/,1,,0,10,0,"Прекрасное место для пожилых людей. Очень чисто, аккуратно, небольшая, но очень уютная территория, хорошая атмосфера 
Огромная благодарность всему персоналу за заботу, уход и доброе отношение к моей б"
Пансионат для пожилых TG-group,"Центральная ул., 9, д. Ащерино",4.3,7,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_tg_group/154071821704/,1,,0,7,1,"Мама уже три месяца в пансионате, и я уверена, что ей здесь хорошо. Внимание со стороны персонала замечательное, и она сама говорит, что здесь ей нравится. Спасибо всем за внимание и заботу!"
Осень жизни,"Петровский пр., 41, район Расторгуево, Видное",4.1,3,https://yandex.ru/maps/org/osen_zhizni/193032072939/,2,,0,2,0,"Хотим сказать большое спасибо! Вошли в нашу сложную жизненную ситуацию, поставили деда на ноги после операции. Нашли подход к его очень сложному характеру, даже и не знаю, как бы мы справлялись сами. "
Академия Долголетия,"ул. Кирова, 3А, микрорайон Сходня, Химки",4.7,37,https://yandex.ru/maps/org/akademiya_dolgoletiya/43196252455/,3,Уход при болезни Альцгеймера: 1700; Уход при болезни Паркинсона у пожилых: 1700; Уход при деменции за пожилым человеком: 1600; Уход за маломобильными пожилыми: 1500; Уход за лежачими пожилыми людьми: 1600; Дом престарелых: 1300; Соляная комната: 500; Реабилитация после перелома шейки бедра: 2100; Реабилитация после инсульта для пожилых: 2100; Реабилитация после инфаркта для пожилых: 1900; Осмотр врача-психиатра: 3500; Осмотр врача-гериатра: 3000,12,1,0,"Могу выразить только огромную благодарность всему персоналу пансионата Академии долголетия , по адресу : Микрорайон Сходня, ул. Кирова, д. 3А. Пользуемся услугами с июля 2025 года. Достойный уровень о"
Теплые беседы,"ул. Водопьянова, 16, Ворота открываются по звонку управляющей, есть заезд для маломобильных",4.3,8,https://yandex.ru/maps/org/teplyye_besedy/102569675078/,5,Пансионат для пожилых алтуфьево: 1950; Пансионат для пожилых алтуфьево: 2100; Пансионат для пожилых алтуфьево: 1850; Пансионат для пожилых Алтуфьево: 2050; Дом престарелых алтуфьево: 2150; Дом престарелых алтуфьево: 2600; Дом престарелых Алтуфьево: 1850; Алтуфьево частный пансионат для пожилых: 2150; Алтуфьево частный пансионат для пожилых: 1950; Алтуфьево частный пансионат для пожилых: 2150; Алтуфьево частный пансионат для пожилых: 1950; Дом престарелых: 2100; Дом престарелых: 2300; Пансионат для пожилых людей алтуфьево: 2050; Пансионат для пожилых людей Алтуфьево: 1950; Пансионат для пожилых людей алтуфьево: 2200; Пансионат для пожилых людей алтуфьево: 1700; Пансионат для пожилых людей в подмосковье: 2200; Пансионат для пожилых людей в подмосковье: 2150; Алтуфьево частный пансионат для пожилых: 1850; Алтуфьево частный пансионат для пожилых: 1750; Алтуфьево частный пансионат для пожилых: 2050; Алтуфьево частный пансионат для пожилых: 1850; Алтуфьево частный пансионат для пожилых: 2550; Алтуфьево частный пансионат для пожилых: 1950; Дом престарелых: 2400; Дом престарелых: 2500; Дом престарелых: 2200; Дом престарелых: 2150; Дом престарелых алтуфьево: 2450; Дом престарелых Алтуфьево: 1950; Дом престарелых алтуфьево: 1850; Дом престарелых Алтуфьево: 2050; Дом престарелых алтуфьево: 1800; Дом престарелых Алтуфьево: 2350; Дом престарелых алтуфьево: 1950; Дом престарелых Алтуфьево: 1850; Дом престарелых в москве: 2100; Дом престарелых в москве: 2150; Дом престарелых в Москве: 2100; Дом престарелых в москве: 2100; Дом престарелых в москве: 2300; Дом престарелых в подмосковье: 2100; Дом престарелых в подмосковье: 2250; Дом престарелых в подмосковье: 2000; Опека пансионат для пожилых алтуфьево: 2700; Опека пансионат для пожилых Алтуфьево: 2050; Опека пансионат для пожилых алтуфьево: 2000; Опека пансионат для пожилых Алтуфьево: 1850; Опека пансионат для пожилых алтуфьево: 2050; Опека пансионат для пожилых Алтуфьево: 1950; Опека пансионат для пожилых алтуфьево: 2550; Опека пансионат для пожилых Алтуфьево: 2050; Опека пансионат для пожилых Алтуфьево: 1950; Опека пансионат для пожилых алтуфьево: 1650; Пансионат для пожилых алтуфьево: 1600; Пансионат для пожилых Алтуфьево: 2050; Пансионат для пожилых алтуфьево: 2050; Пансионат для пожилых Алтуфьево: 1850; Пансионат для пожилых алтуфьево: 2250; Пансионат для пожилых Алтуфьево: 2150; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2300; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей алтуфьево: 2500; Пансионат для пожилых людей Алтуфьево: 1950; Пансионат для пожилых людей Алтуфьево: 1850; Пансионат для пожилых людей Алтуфьево: 2250; Пансионат для пожилых людей алтуфьево: 2350; Пансионат для пожилых людей в Подмосковье: 2300; Пансионат для пожилых людей в подмосковье: 2400; Пансионат для пожилых людей в подмосковье: 1950; Частный пансионат для пожилых: 2200; Частный пансионат для пожилых: 2400; Частный пансионат для пожилых: 2250; Частный пансионат для пожилых: 1900,78,4,0,"Заселили дедушку три дня назад. Очень переживали, как он перенесет переезд. Но персонал сработал профессионально, его сразу окружили вниманием, вовлекли в общение. В комнате чисто, светло, кровать удо"
Пансионат для пожилых людей Дом Пенино,"Московская ул., 6",4.1,10,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_lyudey_dom_penino/241409122813/,1,,0,4,1,"Моя мама находится в пансионате с августа 2024 года. В пансионате доброжелательная обстановка, хорошее питание, чисто и уютно. По необходимости можно попросить вызвать врача-психиатра для осмотра, нав"
Бабушки и Дедушки,"Полевая ул., 25",4.3,6,https://yandex.ru/maps/org/babushki_i_dedushki/17053693312/,1,,0,2,1,"Пансионат расположен в зеленой зоне,чистый воздух, достаточное место для прогулок дедушки. Само здание пансионата с большим холом, где проводятся праздничные мероприятия. Очень отзывчивый обслуживающи"
Пансионат для пожилых в Малаховке TG-group,"Моновский пр., 1, п. г. т. Малаховка",0.0,0,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_v_malakhovke_tg_group/63743030447/,1,,0,0,0,
Ленинский,"Видное, деревня Тарычёво, 2/13",4.2,20,https://yandex.ru/maps/org/leninskiy/154685652374/,1,,0,4,0,"Моя свекровь поступила в этот пансионат 14 апреля 2024 года с трещиной шейки бедра. Работой персонала довольны, очень приятная и доброжелательная управляющая Любовь Тимофеевна. За это время у свекрови"
Ангел,"ул. 7-я Верхняя Линия, 28, микрорайон Никольско-Архангельский, Балашиха",4.9,32,https://yandex.ru/maps/org/angel/87715636278/,1,,0,0,0,В пансионате Ангел в Балашихе моя тетушка оказалась после сложной ситуации - перелом позвоночника. Операцию пришлось отложить на время долечивания открывшейся язвы желудка. Начались срочные поиски пан
Теплые Деньки,"Новая ул., 9, д. Пуговичино",0.0,0,https://yandex.ru/maps/org/teplyye_denki/193637012149/,1,,0,7,1,"«Достойный пансионат. Отметим качественный ремонт, свежую и разнообразную еду (бабушка даже поправилась) и доброжелательных сиделок. Все назначения врача выполняются четко, менеджеры всегда на связи. "
Пансионат Жизнь,"Апрелевская ул., 11, Апрелевка",4.8,30,https://yandex.ru/maps/org/pansionat_zhizn/223581811831/,1,"Пансионат для пожилых людей: Тариф ""Базовый уход"": 2500; Пансионат для пожилых людей: Тариф ""Стандарт+"": 2700; Пансионат для пожилых людей: Тариф ""Максимальный"": 3100; Пансионат для пожилых людей: Тариф VIP ""Все включено"": 6900",4,3,0,"Огромная благодарность всем сотрудникам пансионата! Моя тетушка сломала бедренную кость, в силу очень пожилого возраста, в целях реабилитации поместили ее в пансионат.Лучшего ухода и придумать невозмо"
